epoch,accuracy,loss,val_accuracy,val_loss
0,0.72960216,0.5591546367911656,0.9029649496078491,0.2799995154383369
1,0.8469319,0.3577669171750827,0.9157682061195374,0.2487418483290068
2,0.88570464,0.2809347232812494,0.9097034931182861,0.27584707750022575
3,0.9035738,0.24936739233242686,0.9164420366287231,0.2628836819445187
4,0.91031694,0.22650162542059224,0.9305930137634277,0.19802624254294163
5,0.9212744,0.20169293490600843,0.9332883954048157,0.19933842491067325
6,0.9352664,0.17538769347235228,0.9420484900474548,0.16957775065098007
7,0.9356035,0.17286502518166744,0.9460916519165039,0.16156442343405475
8,0.9431895,0.1545948801010807,0.941374659538269,0.17142413191577655
9,0.9430209,0.15158309853326124,0.9501347541809082,0.15228010069408185
10,0.9457181,0.1453319889162331,0.9541779160499573,0.14085032192191907
11,0.94925827,0.12843534359438388,0.9501347541809082,0.14954224420771645
12,0.95600134,0.12244941775994131,0.9622641801834106,0.12203667259391025
13,0.9556642,0.12103453374499817,0.9555255770683289,0.1374884239646463
14,0.95836145,0.10976641013243676,0.9629380106925964,0.11696927886797652
15,0.95886713,0.10712318087721386,0.9575471878051758,0.126126281526743
16,0.9607215,0.09886823253441082,0.9649595618247986,0.11019624041950686
17,0.96999323,0.09429467014280109,0.9555255770683289,0.14984561126513501
18,0.9659474,0.09257257864411747,0.9636118412017822,0.10972740434705107
19,0.9645988,0.09359838064403267,0.9696765542030334,0.09489232100636731
20,0.9721848,0.08077294877601571,0.9716981053352356,0.07680538939086173
21,0.97134185,0.07829789945445026,0.973045825958252,0.08306376235321104
22,0.97151047,0.07756551440782589,0.9716981053352356,0.0878849242100959
23,0.9738705,0.07008257396242865,0.9750673770904541,0.07623362732860398
24,0.97370195,0.07012739599715674,0.9716981053352356,0.0904673434859217
25,0.97336483,0.06905791545393535,0.9750673770904541,0.07385160785037874
26,0.97606206,0.06426129407492427,0.9750673770904541,0.0844612259733443
27,0.97656775,0.06477388282151376,0.9777628183364868,0.07032789027310828
28,0.9821308,0.05544063923924418,0.9777628183364868,0.06665301289675492
29,0.98196226,0.050050862844083874,0.9757412672042847,0.0793572999929226
30,0.98179364,0.047441633997217514,0.9811320900917053,0.06258139602753342
31,0.9826366,0.04943147518710357,0.9831536412239075,0.05930095745502868
32,0.98246795,0.052998789789598495,0.9838274717330933,0.05723295598090036
33,0.98179364,0.045581331031317854,0.9750673770904541,0.08248075309380619
34,0.9822994,0.04877142317496386,0.9811320900917053,0.06722374990617924
35,0.9853338,0.04106949921508978,0.9858490824699402,0.06566108079073948
36,0.9866824,0.04447960721948062,0.9845013618469238,0.061970337629795195
37,0.988031,0.037440817013435664,0.9791105389595032,0.07391091248751577
