epoch,accuracy,loss,val_accuracy,val_loss
0,0.7186446,0.5449288362035539,0.887466311454773,0.27229243653482504
1,0.8523264,0.35680366522021495,0.9177897572517395,0.20837110578210527
2,0.89396495,0.2789917145017346,0.9305930137634277,0.18408487331513768
3,0.9121713,0.22981471916508692,0.9393531084060669,0.17180553833750703
4,0.92144305,0.2083828005253947,0.9447439312934875,0.16251230197695066
5,0.9376264,0.17744909242971155,0.9514824748039246,0.1470143910487386
6,0.933412,0.1731001284382911,0.9460916519165039,0.16235840273393454
7,0.94622386,0.15414668670877443,0.9575471878051758,0.12418691578479309
8,0.9480782,0.13891627146176044,0.9629380106925964,0.11441631015701435
9,0.9511126,0.13977350314685966,0.9609164595603943,0.10624806358004515
10,0.9593729,0.12051055270899652,0.9649595618247986,0.10544277465528233
11,0.9554956,0.12002739201746354,0.9642857313156128,0.09993238019131907
12,0.9613958,0.10886045038481561,0.9676550030708313,0.0962785647383758
13,0.9602158,0.10724390859622068,0.9676550030708313,0.09327659163513595
14,0.9644302,0.09865905321627072,0.9696765542030334,0.09173514872458023
15,0.96881324,0.0893589682118441,0.9683288335800171,0.07726392152184505
16,0.9689818,0.09205573637086198,0.9716981053352356,0.08044064754615174
17,0.9689818,0.08683941774547542,0.9750673770904541,0.06897711709412845
18,0.970499,0.08249181705456043,0.9710242748260498,0.07741895395725203
19,0.97269046,0.074303379479547,0.9716981053352356,0.0783184073768767
20,0.9738705,0.07425896139640865,0.9757412672042847,0.0640640396243865
21,0.97656775,0.06619058703640708,0.9777628183364868,0.06522732969207784
22,0.9742077,0.06679802487584852,0.9791105389595032,0.06048718582326672
23,0.98027647,0.06319044286100067,0.9818059206008911,0.05825504121769752
24,0.97724205,0.059018717950620685,0.9831536412239075,0.056368135893591895
25,0.97892785,0.06037697854149768,0.9770889282226562,0.06411475730015623
26,0.98246795,0.0511825237101646,0.9845013618469238,0.05450520718252447
27,0.9822994,0.048200294754417033,0.9845013618469238,0.0571728084938327
28,0.98111933,0.0516837909566496,0.9851751923561096,0.0583024232072826
29,0.98027647,0.0508656962740154,0.9831536412239075,0.054010840365820066
30,0.98415375,0.04848319713644236,0.986522912979126,0.04729684779556679
31,0.9866824,0.03924564288414774,0.9858490824699402,0.05058311775572739
32,0.98550236,0.043104812513537004,0.9858490824699402,0.05015862648857938
33,0.9860081,0.04080529903662683,0.9885444641113281,0.049232101074725546
34,0.98634523,0.04006988238367432,0.9871967434883118,0.050323168994627285
35,0.9888739,0.036664181265669775,0.9878706336021423,0.05138297963282156
