epoch,accuracy,loss,val_accuracy,val_loss
0,0.754383,0.493606424600951,0.9245283007621765,0.23451251225330116
1,0.88486177,0.2943494632408093,0.9386792182922363,0.17595202947723254
2,0.91318274,0.2299701515597744,0.9447439312934875,0.15981247253977063
3,0.9231288,0.19855284351235053,0.948113203048706,0.153314544013488
4,0.94588673,0.1607947135777467,0.9568732976913452,0.13157857383659105
5,0.95077544,0.14456458564593996,0.9615902900695801,0.12856022910669326
6,0.95600134,0.13125269610839202,0.9629380106925964,0.1096924326189284
7,0.95279837,0.12579677077619433,0.9683288335800171,0.10436216544992519
8,0.961733,0.11391220507554242,0.9696765542030334,0.09165722092317362
9,0.9607215,0.1121711116321812,0.9737196564674377,0.08523529026697507
10,0.9666217,0.09471755867179632,0.9716981053352356,0.08774312469992797
11,0.96847606,0.09039418596776852,0.9743935465812683,0.07836462088140114
12,0.9676332,0.08589788937384786,0.9750673770904541,0.06810375316711167
13,0.97437626,0.07274851353182153,0.9777628183364868,0.06606248771518249
14,0.97151047,0.07425398335353153,0.9737196564674377,0.06959486779357706
15,0.97606206,0.06925394560260019,0.9770889282226562,0.06449978196060892
16,0.97757924,0.06169561396710278,0.9750673770904541,0.07755135830285936
17,0.978085,0.06349565700043196,0.9770889282226562,0.06233408532232156
18,0.9770735,0.06082409098543433,0.9804581999778748,0.057515889371059975
19,0.9801079,0.0560028608059429,0.9770889282226562,0.06202262405160503
20,0.9829737,0.049403832513218546,0.9804581999778748,0.05626405579508019
21,0.9833109,0.0480870079658599,0.9838274717330933,0.051959796700089406
22,0.98061365,0.04833488042742034,0.9858490824699402,0.05006710149525386
23,0.9858395,0.04184338547834475,0.9851751923561096,0.05307079748281295
24,0.9853338,0.041980331608195386,0.986522912979126,0.0496571223751072
25,0.9856709,0.04150966243581019,0.9851751923561096,0.05183782089737588
26,0.988031,0.03472791389522625,0.9851751923561096,0.055637550899790944
27,0.98718816,0.03514510395026697,0.9851751923561096,0.053715687091296004
28,0.9908968,0.030383478760950402,0.9858490824699402,0.06245731863000548
29,0.98904246,0.03216516515456733,0.9831536412239075,0.05913212565476743
